date,ticker,sector,open,high,low,close,volume
2023-11-23,TECHX,Technology,145.0,146.73,144.06,146.53,4739066
2023-11-24,TECHX,Technology,146.53,146.87,143.62,145.93,3811245
2023-11-27,TECHX,Technology,145.93,146.72,143.98,144.65,2762317
2023-11-28,TECHX,Technology,144.65,148.22,142.15,145.43,2602462
2023-11-29,TECHX,Technology,145.43,145.89,141.28,142.57,2000805
2023-11-30,TECHX,Technology,142.57,147.17,142.48,146.84,2128785
2023-12-01,TECHX,Technology,146.84,147.0,143.66,145.33,3612860
2023-12-04,TECHX,Technology,145.33,145.75,142.81,143.67,5093162
2023-12-05,TECHX,Technology,143.67,145.24,142.49,143.72,1906260
2023-12-06,TECHX,Technology,143.72,147.23,141.81,144.4,3298600
2023-12-07,TECHX,Technology,144.4,146.87,144.24,146.62,3064550
2023-12-08,TECHX,Technology,146.62,147.68,141.72,142.38,4867202
2023-12-11,TECHX,Technology,142.38,145.97,141.91,143.44,2812044
2023-12-12,TECHX,Technology,143.44,144.32,140.12,141.58,4235429
2023-12-13,TECHX,Technology,141.58,142.02,138.83,139.29,4380092
2023-12-14,TECHX,Technology,139.29,139.55,136.51,138.04,2061645
2023-12-15,TECHX,Technology,138.04,142.27,137.94,140.37,4429344
2023-12-18,TECHX,Technology,140.37,142.38,139.86,141.47,4658956
2023-12-19,TECHX,Technology,141.47,143.68,137.74,141.45,3743198
2023-12-20,TECHX,Technology,141.45,142.21,141.32,141.78,1233870
2023-12-21,TECHX,Technology,141.78,142.29,139.16,141.24,2610443
2023-12-22,TECHX,Technology,141.24,141.95,137.77,139.04,3706406
2023-12-25,TECHX,Technology,139.04,139.76,137.52,137.65,4181374
2023-12-26,TECHX,Technology,137.65,138.11,135.27,135.8,1863789
2023-12-27,TECHX,Technology,135.8,137.05,135.8,136.69,2934392
2023-12-28,TECHX,Technology,136.69,137.26,132.45,132.9,2782879
2023-12-29,TECHX,Technology,132.9,133.44,130.05,132.55,3223437
2024-01-01,TECHX,Technology,132.55,133.42,130.01,133.32,3113063
2024-01-02,TECHX,Technology,133.32,136.85,133.06,133.56,3318621
2024-01-03,TECHX,Technology,133.56,135.12,132.02,133.54,3679511
2024-01-04,TECHX,Technology,133.54,136.97,131.67,135.74,1966690
2024-01-05,TECHX,Technology,135.74,140.42,134.39,137.41,2736120
2024-01-08,TECHX,Technology,137.41,138.46,135.28,137.77,3125219
2024-01-09,TECHX,Technology,137.77,138.42,133.68,134.92,5120847
2024-01-10,TECHX,Technology,134.92,135.36,131.81,132.89,2120273
2024-01-11,TECHX,Technology,132.89,135.32,130.75,133.58,3296596
2024-01-12,TECHX,Technology,133.58,135.4,131.92,134.35,1895612
2024-01-15,TECHX,Technology,134.35,136.24,134.01,135.83,3604270
2024-01-16,TECHX,Technology,135.83,136.15,133.67,134.07,2602229
2024-01-17,TECHX,Technology,134.07,139.81,132.47,139.15,4680103
2024-01-18,TECHX,Technology,139.15,140.25,134.94,136.52,2603192
2024-01-19,TECHX,Technology,136.52,139.81,135.4,139.23,5455263
2024-01-22,TECHX,Technology,139.23,140.28,137.4,138.63,2343853
2024-01-23,TECHX,Technology,138.63,139.11,138.12,138.5,3772684
2024-01-24,TECHX,Technology,138.5,140.64,138.14,138.62,5485637
